Title,Body,Labels,Priority,Size,Acceptance Criteria
EPIC: Project setup and deployment foundation,Create repo/app foundation for the Capital Health Solutions prototype under Corvo Labs hosting.,setup,P0,M,"Acceptance: Next.js app created, routes run locally, deploy target documented, README includes local setup and deployment instructions."
Set up Next.js project for /capitalhealthsolutions route,Create Next.js app or monorepo route that supports hosting under corvolabs.com/capitalhealthsolutions.,"setup,website",P0,M,Acceptance: homepage renders at /capitalhealthsolutions locally and supports nested routes.
Configure deployment on Vercel or Cloudflare Pages,Deploy review prototype to public URL under Corvo Labs domain.,setup,P0,M,"Acceptance: public preview URL works, custom path/domain plan documented."
Add environment variable strategy,"Document required env vars for HubSpot, Twilio, AssemblyAI, Google Calendar, Trigger.dev, analytics.","setup,security-compliance",P0,S,Acceptance: .env.example created with no secrets committed.
Create site-wide design tokens from option 02,"Translate option 02 colors, fonts, spacing, and component patterns into reusable Tailwind/theme config.",design-system,P0,M,"Acceptance: design tokens include midnight navy, glacier gray, burgundy, steel blue, typography, spacing."
Build shared layout and navigation,"Create reusable nav/footer based on option 02, with routes for Services, Devices, Resources, Support, Proposal, Contact.","design-system,website",P0,M,"Acceptance: nav is responsive, sticky, and links to implemented pages."
Adapt homepage option 02 into production component,Use selected prototype direction but replace placeholder content and unsupported claims.,website,P0,L,"Acceptance: homepage uses accurate CHS positioning, no fake names/claims, has consultation/SMS CTAs."
Create interactive proposal page,"Build /proposal page with sections for strategy, automation, SMS, voice, HubSpot, website, roadmap, costs, issues.","proposal-page,website",P0,L,"Acceptance: page is polished, navigable, and can be shared with Milan/Dinesh."
Create devices hub page,Build /devices hub for equipment categories and multi-brand positioning with Mindray emphasis.,website,P1,M,"Acceptance: includes category cards, CTA, internal links to details."
Create device detail template,"Build reusable device detail page template with specs, use cases, FAQs, CTA, schema support.","website,seo-aeo",P1,M,"Acceptance: page supports model name, practice fit, feature table, FAQs, related articles."
Create solutions hub page,Build /solutions page for practice segments and clinical workflows.,website,P1,M,Acceptance: links to vein clinics and vascular surgery group pages.
Create vein clinics solution page,Build primary segment page for multi-provider vein clinics.,"website,content",P1,M,"Acceptance: page speaks to growth, training, support, config, workflow and CTA."
Create vascular surgery groups solution page,Build primary segment page for vascular surgery groups.,"website,content",P1,M,"Acceptance: page speaks to imaging quality, multi-provider workflows, training, device fit."
Create training page,"Build page for onboarding, hands-on training, technician support, and staff confidence.","website,content",P1,M,"Acceptance: includes training journey, scheduling CTA, FAQs."
Create support page,"Build support hub with SMS/phone CTA, PHI warning, expected hours, escalation description.","website,support-ops",P0,M,"Acceptance: includes 415-VEINS-R-US placeholder, same-day business-hours expectation, safe SMS guidance."
Create resources hub,"Build content hub with pillars, featured articles, filters, and internal linking.","website,content,seo-aeo",P0,M,Acceptance: first 4 articles are listed and linked.
